Reducing the number of VLM layers to 16 ...
dataset: 120 episodios, 24431 fotogramas
politica: 99.9M parametros entrenables en mps
objc[87198]: Class AVFFrameReceiver is implemented in both /Users/macuartin/www/robotics/youbot/.venv/lib/python3.14/site-packages/av/.dylibs/libavdevice.61.3.100.dylib (0x12a6403a8) and /opt/homebrew/Cellar/ffmpeg/8.1.2_1/lib/libavdevice.62.3.102.dylib (0x135e64328). This may cause spurious casting failures and mysterious crashes. One of the duplicates must be removed or renamed.
objc[87198]: Class AVFAudioReceiver is implemented in both /Users/macuartin/www/robotics/youbot/.venv/lib/python3.14/site-packages/av/.dylibs/libavdevice.61.3.100.dylib (0x12a6403f8) and /opt/homebrew/Cellar/ffmpeg/8.1.2_1/lib/libavdevice.62.3.102.dylib (0x135e64378). This may cause spurious casting failures and mysterious crashes. One of the duplicates must be removed or renamed.
  paso   940/3000 | loss 0.0741 | 3.06 s/paso
  paso   950/3000 | loss 0.0677 | 3.25 s/paso
  paso   960/3000 | loss 0.0614 | 2.98 s/paso
  paso   970/3000 | loss 0.0766 | 3.28 s/paso
  paso   980/3000 | loss 0.0617 | 3.35 s/paso
  paso   990/3000 | loss 0.0685 | 3.17 s/paso
  paso  1000/3000 | loss 0.0584 | 3.12 s/paso
    checkpoint guardado en el paso 1000
  paso  1010/3000 | loss 0.0839 | 3.05 s/paso
  paso  1020/3000 | loss 0.0812 | 3.00 s/paso
  paso  1030/3000 | loss 0.0761 | 3.06 s/paso
  paso  1040/3000 | loss 0.0702 | 3.11 s/paso
  paso  1050/3000 | loss 0.0899 | 2.90 s/paso
  paso  1060/3000 | loss 0.0886 | 2.89 s/paso
  paso  1070/3000 | loss 0.0837 | 2.81 s/paso
  paso  1080/3000 | loss 0.0758 | 3.04 s/paso
  paso  1090/3000 | loss 0.0695 | 2.80 s/paso
  paso  1100/3000 | loss 0.0848 | 3.12 s/paso
  paso  1110/3000 | loss 0.0849 | 2.87 s/paso
  paso  1120/3000 | loss 0.0830 | 2.86 s/paso
  paso  1130/3000 | loss 0.0933 | 2.84 s/paso
  paso  1140/3000 | loss 0.0771 | 2.85 s/paso
  paso  1150/3000 | loss 0.0783 | 2.98 s/paso
  paso  1160/3000 | loss 0.0655 | 3.21 s/paso
  paso  1170/3000 | loss 0.0948 | 2.96 s/paso
  paso  1180/3000 | loss 0.0801 | 2.95 s/paso
  paso  1190/3000 | loss 0.0721 | 2.87 s/paso
  paso  1200/3000 | loss 0.0716 | 3.06 s/paso
  paso  1210/3000 | loss 0.0701 | 3.29 s/paso
  paso  1220/3000 | loss 0.0772 | 3.45 s/paso
  paso  1230/3000 | loss 0.0600 | 2.85 s/paso
  paso  1240/3000 | loss 0.0644 | 3.29 s/paso
  paso  1250/3000 | loss 0.0658 | 3.03 s/paso
  paso  1260/3000 | loss 0.0695 | 3.28 s/paso
  paso  1270/3000 | loss 0.0745 | 3.03 s/paso
  paso  1280/3000 | loss 0.0800 | 3.08 s/paso
  paso  1290/3000 | loss 0.0709 | 3.03 s/paso
  paso  1300/3000 | loss 0.0865 | 3.08 s/paso
  paso  1310/3000 | loss 0.0803 | 3.09 s/paso
  paso  1320/3000 | loss 0.0750 | 3.06 s/paso
  paso  1330/3000 | loss 0.1072 | 3.05 s/paso
  paso  1340/3000 | loss 0.0764 | 2.97 s/paso
  paso  1350/3000 | loss 0.0631 | 2.88 s/paso
  paso  1360/3000 | loss 0.0531 | 2.87 s/paso
  paso  1370/3000 | loss 0.0636 | 3.12 s/paso
  paso  1380/3000 | loss 0.0616 | 2.97 s/paso
  paso  1390/3000 | loss 0.0896 | 2.95 s/paso
  paso  1400/3000 | loss 0.0641 | 3.02 s/paso
  paso  1410/3000 | loss 0.0717 | 2.88 s/paso
  paso  1420/3000 | loss 0.0933 | 2.86 s/paso
  paso  1430/3000 | loss 0.0687 | 2.86 s/paso
  paso  1440/3000 | loss 0.0655 | 2.99 s/paso
  paso  1450/3000 | loss 0.0799 | 3.11 s/paso
  paso  1460/3000 | loss 0.0729 | 3.21 s/paso
  paso  1470/3000 | loss 0.0776 | 3.28 s/paso
  paso  1480/3000 | loss 0.0928 | 3.39 s/paso
  paso  1490/3000 | loss 0.0807 | 3.39 s/paso
  paso  1500/3000 | loss 0.0734 | 3.14 s/paso
    checkpoint guardado en el paso 1500
  paso  1510/3000 | loss 0.0702 | 3.33 s/paso
  paso  1520/3000 | loss 0.0668 | 3.38 s/paso
  paso  1530/3000 | loss 0.0846 | 3.31 s/paso
  paso  1540/3000 | loss 0.0651 | 3.37 s/paso
  paso  1550/3000 | loss 0.0949 | 3.23 s/paso
  paso  1560/3000 | loss 0.0686 | 3.19 s/paso
  paso  1570/3000 | loss 0.0741 | 3.15 s/paso
  paso  1580/3000 | loss 0.0974 | 3.15 s/paso
  paso  1590/3000 | loss 0.0812 | 3.24 s/paso
  paso  1600/3000 | loss 0.0679 | 3.15 s/paso
  paso  1610/3000 | loss 0.0669 | 3.12 s/paso
  paso  1620/3000 | loss 0.0727 | 3.23 s/paso
  paso  1630/3000 | loss 0.0923 | 3.16 s/paso
  paso  1640/3000 | loss 0.0663 | 3.13 s/paso
  paso  1650/3000 | loss 0.0602 | 3.16 s/paso
  paso  1660/3000 | loss 0.0583 | 3.07 s/paso
  paso  1670/3000 | loss 0.0732 | 3.09 s/paso
  paso  1680/3000 | loss 0.0766 | 3.03 s/paso
  paso  1690/3000 | loss 0.0625 | 3.06 s/paso
  paso  1700/3000 | loss 0.0616 | 3.00 s/paso
  paso  1710/3000 | loss 0.0644 | 3.01 s/paso
  paso  1720/3000 | loss 0.0736 | 3.06 s/paso
  paso  1730/3000 | loss 0.0652 | 3.12 s/paso
  paso  1740/3000 | loss 0.0949 | 3.06 s/paso
  paso  1750/3000 | loss 0.0667 | 3.08 s/paso
  paso  1760/3000 | loss 0.0935 | 3.06 s/paso
  paso  1770/3000 | loss 0.0687 | 3.20 s/paso
  paso  1780/3000 | loss 0.0666 | 3.04 s/paso
  paso  1790/3000 | loss 0.0694 | 3.07 s/paso
  paso  1800/3000 | loss 0.0894 | 3.05 s/paso
  paso  1810/3000 | loss 0.0577 | 3.04 s/paso
  paso  1820/3000 | loss 0.0631 | 3.03 s/paso
  paso  1830/3000 | loss 0.0759 | 3.08 s/paso
  paso  1840/3000 | loss 0.0816 | 3.07 s/paso
  paso  1850/3000 | loss 0.0676 | 3.13 s/paso
  paso  1860/3000 | loss 0.0827 | 3.02 s/paso
  paso  1870/3000 | loss 0.0825 | 3.11 s/paso
  paso  1880/3000 | loss 0.0643 | 3.13 s/paso
  paso  1890/3000 | loss 0.0720 | 2.98 s/paso
  paso  1900/3000 | loss 0.0681 | 3.00 s/paso
  paso  1910/3000 | loss 0.0600 | 2.99 s/paso
  paso  1920/3000 | loss 0.0598 | 3.03 s/paso
  paso  1930/3000 | loss 0.0617 | 3.06 s/paso
  paso  1940/3000 | loss 0.0675 | 2.89 s/paso
  paso  1950/3000 | loss 0.0752 | 2.97 s/paso
  paso  1960/3000 | loss 0.0584 | 3.35 s/paso
  paso  1970/3000 | loss 0.0632 | 3.45 s/paso
  paso  1980/3000 | loss 0.0688 | 3.36 s/paso
  paso  1990/3000 | loss 0.0620 | 3.08 s/paso
  paso  2000/3000 | loss 0.0634 | 3.05 s/paso
    checkpoint guardado en el paso 2000
  paso  2010/3000 | loss 0.0542 | 3.20 s/paso
  paso  2020/3000 | loss 0.0625 | 3.34 s/paso
  paso  2030/3000 | loss 0.0552 | 2.94 s/paso
  paso  2040/3000 | loss 0.0718 | 2.84 s/paso
  paso  2050/3000 | loss 0.0830 | 2.87 s/paso
  paso  2060/3000 | loss 0.0901 | 2.84 s/paso
  paso  2070/3000 | loss 0.0678 | 2.84 s/paso
  paso  2080/3000 | loss 0.0790 | 2.83 s/paso
  paso  2090/3000 | loss 0.0574 | 2.85 s/paso
  paso  2100/3000 | loss 0.0659 | 2.83 s/paso
  paso  2110/3000 | loss 0.0705 | 2.84 s/paso
  paso  2120/3000 | loss 0.0631 | 2.85 s/paso
  paso  2130/3000 | loss 0.0586 | 2.83 s/paso
  paso  2140/3000 | loss 0.0611 | 2.83 s/paso
  paso  2150/3000 | loss 0.0722 | 2.83 s/paso
  paso  2160/3000 | loss 0.0707 | 2.81 s/paso
